"filename", "language", "Python", "comment", "blank", "total"
"d:\Github\Visual-Sports-Studio\main.py", "Python", 6, 0, 2, 8
"d:\Github\Visual-Sports-Studio\test.py", "Python", 32, 2, 9, 43
"d:\Github\Visual-Sports-Studio\vss_sports\vss_baseball.py", "Python", 1, -1, 0, 0
"d:\Github\Visual-Sports-Studio\vss_utils\vss_settings_window.py", "Python", 75, 6, 7, 88
"d:\Github\Visual-Sports-Studio\vss_utils\vss_utilities.py", "Python", 25, 1, 6, 32
"Total", "-", 139, 8, 24, 171
