"filename", "language", "Python", "pip requirements", "YAML", "Batch", "Markdown", "comment", "blank", "total"
"d:\Github\Visual-Sports-Studio\.github\workflows\checkmarx-one.yml", "YAML", 0, 0, 29, 0, 0, 18, 9, 56
"d:\Github\Visual-Sports-Studio\.github\workflows\codeql.yml", "YAML", 0, 0, 33, 0, 0, 29, 13, 75
"d:\Github\Visual-Sports-Studio\.github\workflows\dependency-review.yml", "YAML", 0, 0, 12, 0, 0, 6, 3, 21
"d:\Github\Visual-Sports-Studio\.github\workflows\devskim.yml", "YAML", 0, 0, 25, 0, 0, 4, 6, 35
"d:\Github\Visual-Sports-Studio\.github\workflows\ossar.yml", "YAML", 0, 0, 27, 0, 0, 21, 9, 57
"d:\Github\Visual-Sports-Studio\README.md", "Markdown", 0, 0, 0, 0, 21, 0, 8, 29
"d:\Github\Visual-Sports-Studio\changelog.md", "Markdown", 0, 0, 0, 0, 8, 0, 2, 10
"d:\Github\Visual-Sports-Studio\main.py", "Python", 129, 0, 0, 0, 0, 35, 27, 191
"d:\Github\Visual-Sports-Studio\make_windows.bat", "Batch", 0, 0, 0, 3, 0, 0, 0, 3
"d:\Github\Visual-Sports-Studio\requirements.txt", "pip requirements", 0, 4, 0, 0, 0, 0, 0, 4
"d:\Github\Visual-Sports-Studio\setup.py", "Python", 5, 0, 0, 0, 0, 0, 0, 5
"d:\Github\Visual-Sports-Studio\vss_about.py", "Python", 81, 0, 0, 0, 0, 10, 10, 101
"d:\Github\Visual-Sports-Studio\vss_db\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 2, 4
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_baseball.py", "Python", 253, 0, 0, 0, 0, 194, 117, 564
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_nfl.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_tables.py", "Python", 9, 0, 0, 0, 0, 410, 9, 428
"d:\Github\Visual-Sports-Studio\vss_defaults.py", "Python", 156, 0, 0, 0, 0, 144, 10, 310
"d:\Github\Visual-Sports-Studio\vss_loading_test.py", "Python", 34, 0, 0, 0, 0, 3, 9, 46
"d:\Github\Visual-Sports-Studio\vss_sports\vss_baseball.py", "Python", 486, 0, 0, 0, 0, 78, 92, 656
"d:\Github\Visual-Sports-Studio\vss_sports\vss_basketball.py", "Python", 15, 0, 0, 0, 0, 0, 4, 19
"d:\Github\Visual-Sports-Studio\vss_sports\vss_football.py", "Python", 15, 0, 0, 0, 0, 0, 4, 19
"d:\Github\Visual-Sports-Studio\vss_sports\vss_soccer.py", "Python", 15, 0, 0, 0, 0, 0, 4, 19
"d:\Github\Visual-Sports-Studio\vss_utils\__init__.py", "Python", 4, 0, 0, 0, 0, 0, 0, 4
"d:\Github\Visual-Sports-Studio\vss_utils\vss_baseball_utils.py", "Python", 852, 0, 0, 0, 0, 31, 35, 918
"d:\Github\Visual-Sports-Studio\vss_utils\vss_graphing.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"d:\Github\Visual-Sports-Studio\vss_utils\vss_settings_window.py", "Python", 386, 0, 0, 0, 0, 58, 50, 494
"d:\Github\Visual-Sports-Studio\vss_utils\vss_urls.py", "Python", 18, 0, 0, 0, 0, 20, 12, 50
"d:\Github\Visual-Sports-Studio\vss_utils\vss_utilities.py", "Python", 716, 0, 0, 0, 0, 96, 48, 860
"Total", "-", 3182, 4, 126, 3, 29, 1157, 488, 4989
