"filename", "language", "Python", "pip requirements", "Markdown", "Batch", "YAML", "comment", "blank", "total"
"d:\Github\Visual-Sports-Studio\.github\workflows\checkmarx-one.yml", "YAML", 0, 0, 0, 0, 29, 18, 9, 56
"d:\Github\Visual-Sports-Studio\.github\workflows\codeql.yml", "YAML", 0, 0, 0, 0, 33, 29, 13, 75
"d:\Github\Visual-Sports-Studio\.github\workflows\dependency-review.yml", "YAML", 0, 0, 0, 0, 12, 6, 3, 21
"d:\Github\Visual-Sports-Studio\.github\workflows\devskim.yml", "YAML", 0, 0, 0, 0, 25, 4, 6, 35
"d:\Github\Visual-Sports-Studio\.github\workflows\ossar.yml", "YAML", 0, 0, 0, 0, 27, 21, 9, 57
"d:\Github\Visual-Sports-Studio\PySimpleGUI.py", "Python", 12790, 0, 0, 0, 0, 10629, 2650, 26069
"d:\Github\Visual-Sports-Studio\README.md", "Markdown", 0, 0, 21, 0, 0, 0, 8, 29
"d:\Github\Visual-Sports-Studio\changelog.md", "Markdown", 0, 0, 8, 0, 0, 0, 2, 10
"d:\Github\Visual-Sports-Studio\main.py", "Python", 129, 0, 0, 0, 0, 32, 26, 187
"d:\Github\Visual-Sports-Studio\make_windows.bat", "Batch", 0, 0, 0, 3, 0, 0, 0, 3
"d:\Github\Visual-Sports-Studio\requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 0, 0, 2
"d:\Github\Visual-Sports-Studio\setup.py", "Python", 5, 0, 0, 0, 0, 0, 0, 5
"d:\Github\Visual-Sports-Studio\test.py", "Python", 35, 0, 0, 0, 0, 2, 9, 46
"d:\Github\Visual-Sports-Studio\vss_about.py", "Python", 81, 0, 0, 0, 0, 10, 10, 101
"d:\Github\Visual-Sports-Studio\vss_db\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 2, 4
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_baseball.py", "Python", 253, 0, 0, 0, 0, 176, 115, 544
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_nfl.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Github\Visual-Sports-Studio\vss_db\vss_db_tables.py", "Python", 9, 0, 0, 0, 0, 410, 9, 428
"d:\Github\Visual-Sports-Studio\vss_defaults.py", "Python", 155, 0, 0, 0, 0, 134, 9, 298
"d:\Github\Visual-Sports-Studio\vss_sports\vss_baseball.py", "Python", 474, 0, 0, 0, 0, 61, 90, 625
"d:\Github\Visual-Sports-Studio\vss_sports\vss_basketball.py", "Python", 15, 0, 0, 0, 0, 0, 4, 19
"d:\Github\Visual-Sports-Studio\vss_sports\vss_football.py", "Python", 15, 0, 0, 0, 0, 0, 4, 19
"d:\Github\Visual-Sports-Studio\vss_sports\vss_soccer.py", "Python", 15, 0, 0, 0, 0, 0, 4, 19
"d:\Github\Visual-Sports-Studio\vss_utils\__init__.py", "Python", 4, 0, 0, 0, 0, 0, 0, 4
"d:\Github\Visual-Sports-Studio\vss_utils\vss_baseball_utils.py", "Python", 852, 0, 0, 0, 0, 31, 35, 918
"d:\Github\Visual-Sports-Studio\vss_utils\vss_graphing.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"d:\Github\Visual-Sports-Studio\vss_utils\vss_settings_window.py", "Python", 338, 0, 0, 0, 0, 40, 38, 416
"d:\Github\Visual-Sports-Studio\vss_utils\vss_urls.py", "Python", 18, 0, 0, 0, 0, 20, 12, 50
"d:\Github\Visual-Sports-Studio\vss_utils\vss_utilities.py", "Python", 432, 0, 0, 0, 0, 52, 47, 531
"Total", "-", 15628, 2, 29, 3, 126, 11675, 3119, 30582
