"filename", "language", "Python", "comment", "blank", "total"
"d:\Github\Visual-Sports-Studio\setup.py", "Python", 5, 0, 0, 5
"d:\Github\Visual-Sports-Studio\vss_sports\vss_baseball.py", "Python", 36, 1, 4, 41
"d:\Github\Visual-Sports-Studio\vss_utils\vss_settings_window.py", "Python", 12, -1, 0, 11
"Total", "-", 53, 0, 4, 57
