"filename", "language", "Markdown", "Python", "YAML", "comment", "blank", "total"
"d:\Github\Visual-Sports-Studio\.github\workflows\checkmarx-one.yml", "YAML", 0, 0, 29, 18, 9, 56
"d:\Github\Visual-Sports-Studio\.github\workflows\codeql.yml", "YAML", 0, 0, 33, 29, 13, 75
"d:\Github\Visual-Sports-Studio\.github\workflows\dependency-review.yml", "YAML", 0, 0, 12, 6, 3, 21
"d:\Github\Visual-Sports-Studio\.github\workflows\devskim.yml", "YAML", 0, 0, 25, 4, 6, 35
"d:\Github\Visual-Sports-Studio\.github\workflows\ossar.yml", "YAML", 0, 0, 27, 21, 9, 57
"d:\Github\Visual-Sports-Studio\README.md", "Markdown", 1, 0, 0, 0, 1, 2
"d:\Github\Visual-Sports-Studio\vss_defaults.py", "Python", 0, 3, 0, 20, -2, 21
"d:\Github\Visual-Sports-Studio\vss_sports\vss_baseball.py", "Python", 0, -11, 0, 12, 0, 1
"Total", "-", 1, -8, 126, 110, 39, 268
